ID;Kategorie;Name;Beschreibung (Freischaltbedingung);Motiv-Beschreibung;Tier / Rarität;Einsatzorte
B021;Land;Land: Malta;Freigeschaltet fuer einen dokumentierten Besuch.;Olivenzweig ueber Kuestenwelle;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B022;Land;Land: Moldau;Freigeschaltet fuer einen dokumentierten Besuch.;Zwiebelturm-Andeutung, einzelne Kuppel;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B023;Land;Land: Monaco;Freigeschaltet fuer einen dokumentierten Besuch.;Olivenzweig ueber Kuestenwelle;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B024;Land;Land: Montenegro;Freigeschaltet fuer einen dokumentierten Besuch.;Bergzacken mit Bruecken-Bogen darunter;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B025;Land;Land: Niederlande;Freigeschaltet fuer einen dokumentierten Besuch.;Windmuehlenfluegel-Kreuz;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B026;Land;Land: Nordmazedonien;Freigeschaltet fuer einen dokumentierten Besuch.;Bergzacken mit Bruecken-Bogen darunter;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B027;Land;Land: Norwegen;Freigeschaltet fuer einen dokumentierten Besuch.;Fjord-V-Form mit steilen Felswaenden;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B028;Land;Land: Oesterreich;Freigeschaltet fuer einen dokumentierten Besuch.;Alpenkette, drei gestaffelte Gipfel;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B029;Land;Land: Polen;Freigeschaltet fuer einen dokumentierten Besuch.;Marktplatz-Giebelreihe, drei Haeuser;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B030;Land;Land: Portugal;Freigeschaltet fuer einen dokumentierten Besuch.;Azulejo-Kachelmuster, vier Felder;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B031;Land;Land: Rumaenien;Freigeschaltet fuer einen dokumentierten Besuch.;Zwiebelturm-Andeutung, einzelne Kuppel;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B032;Land;Land: San Marino;Freigeschaltet fuer einen dokumentierten Besuch.;Olivenzweig ueber Kuestenwelle;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B033;Land;Land: Schweden;Freigeschaltet fuer einen dokumentierten Besuch.;Schaerenkueste, gepunktete Inselkette;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B034;Land;Land: Schweiz;Freigeschaltet fuer einen dokumentierten Besuch.;Matterhorn-Dreieckspitze;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B035;Land;Land: Serbien;Freigeschaltet fuer einen dokumentierten Besuch.;Bergzacken mit Bruecken-Bogen darunter;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B036;Land;Land: Slowakei;Freigeschaltet fuer einen dokumentierten Besuch.;Zwiebelturm-Andeutung, einzelne Kuppel;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B037;Land;Land: Slowenien;Freigeschaltet fuer einen dokumentierten Besuch.;Bergzacken mit Bruecken-Bogen darunter;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B038;Land;Land: Spanien;Freigeschaltet fuer einen dokumentierten Besuch.;Sagrada-Familia-Turmspitzen, drei ungleiche Zacken;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B039;Land;Land: Tschechien;Freigeschaltet fuer einen dokumentierten Besuch.;Bruecken-Turmpaar mit gotischen Spitzen;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B040;Land;Land: Ukraine;Freigeschaltet fuer einen dokumentierten Besuch.;Zwiebelturm-Andeutung, einzelne Kuppel;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B041;Land;Land: Ungarn;Freigeschaltet fuer einen dokumentierten Besuch.;Kettenbruecke-Bogenpaar;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B042;Land;Land: Vereinigtes Koenigreich;Freigeschaltet fuer einen dokumentierten Besuch.;Big-Ben-Turmspitze mit Ziffernblatt-Punkt;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B043;Land;Land: Zypern;Freigeschaltet fuer einen dokumentierten Besuch.;Olivenzweig ueber Kuestenwelle;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B044;Land;Land: Afghanistan;Freigeschaltet fuer einen dokumentierten Besuch.;Jurten-Kuppel mit Bergzacken;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B045;Land;Land: Bahrain;Freigeschaltet fuer einen dokumentierten Besuch.;Halbmond ueber Duenenwelle;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B046;Land;Land: Bangladesch;Freigeschaltet fuer einen dokumentierten Besuch.;Lotusblueten-Kontur, fuenf Blaetter;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B047;Land;Land: Bhutan;Freigeschaltet fuer einen dokumentierten Besuch.;Kloster auf Felsvorsprung, Klippen-Silhouette;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B048;Land;Land: Brunei;Freigeschaltet fuer einen dokumentierten Besuch.;Tempeldach-Schwung mit Palmwedel;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B049;Land;Land: China;Freigeschaltet fuer einen dokumentierten Besuch.;Mauerzinnen-Wellenlinie ueber Huegelkontur;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B050;Land;Land: Georgien;Freigeschaltet fuer einen dokumentierten Besuch.;Kaukasus-Gipfel mit Turmsilhouette davor;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B051;Land;Land: Indien;Freigeschaltet fuer einen dokumentierten Besuch.;Taj-Mahal-Kuppel mit zwei Minaretten;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B052;Land;Land: Indonesien;Freigeschaltet fuer einen dokumentierten Besuch.;Vulkankegel mit Reisterrassen-Linien darunter;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B053;Land;Land: Irak;Freigeschaltet fuer einen dokumentierten Besuch.;Halbmond ueber Duenenwelle;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B054;Land;Land: Israel;Freigeschaltet fuer einen dokumentierten Besuch.;Halbmond ueber Duenenwelle;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B055;Land;Land: Japan;Freigeschaltet fuer einen dokumentierten Besuch.;Fuji-Kegel mit Schneekappe;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B056;Land;Land: Jemen;Freigeschaltet fuer einen dokumentierten Besuch.;Halbmond ueber Duenenwelle;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B057;Land;Land: Jordanien;Freigeschaltet fuer einen dokumentierten Besuch.;Petra-Fassade, Saeulen und Dreiecksgiebel;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B058;Land;Land: Kambodscha;Freigeschaltet fuer einen dokumentierten Besuch.;Angkor-Wat-Turmreihe, fuenf Spitzen;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B059;Land;Land: Kasachstan;Freigeschaltet fuer einen dokumentierten Besuch.;Jurten-Kuppel mit Bergzacken;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B060;Land;Land: Katar;Freigeschaltet fuer einen dokumentierten Besuch.;Halbmond ueber Duenenwelle;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B061;Land;Land: Kirgisistan;Freigeschaltet fuer einen dokumentierten Besuch.;Jurten-Kuppel mit Bergzacken;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B062;Land;Land: Kuwait;Freigeschaltet fuer einen dokumentierten Besuch.;Halbmond ueber Duenenwelle;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B063;Land;Land: Laos;Freigeschaltet fuer einen dokumentierten Besuch.;Tempeldach-Schwung mit Palmwedel;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B064;Land;Land: Libanon;Freigeschaltet fuer einen dokumentierten Besuch.;Halbmond ueber Duenenwelle;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B065;Land;Land: Malaysia;Freigeschaltet fuer einen dokumentierten Besuch.;Zwillingsturm-Silhouette, verbunden durch Steg;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B066;Land;Land: Malediven;Freigeschaltet fuer einen dokumentierten Besuch.;Ueberwasser-Huette auf Wellenlinie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B067;Land;Land: Mongolei;Freigeschaltet fuer einen dokumentierten Besuch.;Jurten-Kuppel mit Bergzacken;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B068;Land;Land: Myanmar;Freigeschaltet fuer einen dokumentierten Besuch.;Tempeldach-Schwung mit Palmwedel;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B069;Land;Land: Nepal;Freigeschaltet fuer einen dokumentierten Besuch.;Himalaya-Zackenkette mit Gebetsfahnen-Punkten;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B070;Land;Land: Oman;Freigeschaltet fuer einen dokumentierten Besuch.;Halbmond ueber Duenenwelle;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B071;Land;Land: Osttimor;Freigeschaltet fuer einen dokumentierten Besuch.;Tempeldach-Schwung mit Palmwedel;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B072;Land;Land: Pakistan;Freigeschaltet fuer einen dokumentierten Besuch.;Lotusblueten-Kontur, fuenf Blaetter;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B073;Land;Land: Palaestina;Freigeschaltet fuer einen dokumentierten Besuch.;Halbmond ueber Duenenwelle;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B074;Land;Land: Philippinen;Freigeschaltet fuer einen dokumentierten Besuch.;Reisterrassen, konzentrische Kurven;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B075;Land;Land: Saudi-Arabien;Freigeschaltet fuer einen dokumentierten Besuch.;Halbmond ueber Duenenwelle;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B076;Land;Land: Singapur;Freigeschaltet fuer einen dokumentierten Besuch.;Baumstruktur mit Lichterkrone, vereinfacht;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B077;Land;Land: Sri Lanka;Freigeschaltet fuer einen dokumentierten Besuch.;Lotusblueten-Kontur, fuenf Blaetter;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B078;Land;Land: Suedkorea;Freigeschaltet fuer einen dokumentierten Besuch.;Palast-Dach-Schwung, geschwungene Traufe;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B079;Land;Land: Syrien;Freigeschaltet fuer einen dokumentierten Besuch.;Halbmond ueber Duenenwelle;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B080;Land;Land: Tadschikistan;Freigeschaltet fuer einen dokumentierten Besuch.;Jurten-Kuppel mit Bergzacken;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B081;Land;Land: Taiwan;Freigeschaltet fuer einen dokumentierten Besuch.;Pagoden-Silhouette, gestaffelte Daecher;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B082;Land;Land: Thailand;Freigeschaltet fuer einen dokumentierten Besuch.;Wat-Dach-Silhouette, geschwungene Firstlinie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B083;Land;Land: Turkmenistan;Freigeschaltet fuer einen dokumentierten Besuch.;Jurten-Kuppel mit Bergzacken;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B084;Land;Land: Tuerkei;Freigeschaltet fuer einen dokumentierten Besuch.;Hagia-Sophia-Kuppel mit Halbmond;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B085;Land;Land: Usbekistan;Freigeschaltet fuer einen dokumentierten Besuch.;Jurten-Kuppel mit Bergzacken;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B086;Land;Land: Vereinigte Arabische Emirate;Freigeschaltet fuer einen dokumentierten Besuch.;Wolkenkratzer-Nadel, schlanke Spitze;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B087;Land;Land: Vietnam;Freigeschaltet fuer einen dokumentierten Besuch.;Halong-Bucht-Karstfelsen, gestaffelte Kegel;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B088;Land;Land: Aegypten;Freigeschaltet fuer einen dokumentierten Besuch.;Duenenwelle mit Palme;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B089;Land;Land: Algerien;Freigeschaltet fuer einen dokumentierten Besuch.;Duenenwelle mit Palme;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B090;Land;Land: Angola;Freigeschaltet fuer einen dokumentierten Besuch.;Baobab-Silhouette, knorriger Stamm;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B091;Land;Land: Aequatorialguinea;Freigeschaltet fuer einen dokumentierten Besuch.;Regenwald-Blattkontur, grossflaechig;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B092;Land;Land: Aethiopien;Freigeschaltet fuer einen dokumentierten Besuch.;Savannen-Graslinie mit Akazie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B093;Land;Land: Benin;Freigeschaltet fuer einen dokumentierten Besuch.;Geometrisches Kente-Musterband;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B094;Land;Land: Botswana;Freigeschaltet fuer einen dokumentierten Besuch.;Baobab-Silhouette, knorriger Stamm;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B095;Land;Land: Burkina Faso;Freigeschaltet fuer einen dokumentierten Besuch.;Geometrisches Kente-Musterband;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B096;Land;Land: Burundi;Freigeschaltet fuer einen dokumentierten Besuch.;Savannen-Graslinie mit Akazie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B097;Land;Land: Dschibuti;Freigeschaltet fuer einen dokumentierten Besuch.;Savannen-Graslinie mit Akazie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B098;Land;Land: Elfenbeinkueste;Freigeschaltet fuer einen dokumentierten Besuch.;Geometrisches Kente-Musterband;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B099;Land;Land: Eritrea;Freigeschaltet fuer einen dokumentierten Besuch.;Savannen-Graslinie mit Akazie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B100;Land;Land: Eswatini;Freigeschaltet fuer einen dokumentierten Besuch.;Baobab-Silhouette, knorriger Stamm;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B101;Land;Land: Gabun;Freigeschaltet fuer einen dokumentierten Besuch.;Regenwald-Blattkontur, grossflaechig;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B102;Land;Land: Gambia;Freigeschaltet fuer einen dokumentierten Besuch.;Geometrisches Kente-Musterband;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B103;Land;Land: Ghana;Freigeschaltet fuer einen dokumentierten Besuch.;Geometrisches Kente-Musterband;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B104;Land;Land: Guinea;Freigeschaltet fuer einen dokumentierten Besuch.;Geometrisches Kente-Musterband;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B105;Land;Land: Guinea-Bissau;Freigeschaltet fuer einen dokumentierten Besuch.;Geometrisches Kente-Musterband;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B106;Land;Land: Kamerun;Freigeschaltet fuer einen dokumentierten Besuch.;Regenwald-Blattkontur, grossflaechig;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B107;Land;Land: Kap Verde;Freigeschaltet fuer einen dokumentierten Besuch.;Geometrisches Kente-Musterband;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B108;Land;Land: Kenia;Freigeschaltet fuer einen dokumentierten Besuch.;Akazienbaum-Silhouette vor Sonnenscheibe;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B109;Land;Land: Komoren;Freigeschaltet fuer einen dokumentierten Besuch.;Savannen-Graslinie mit Akazie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B110;Land;Land: Kongo;Freigeschaltet fuer einen dokumentierten Besuch.;Regenwald-Blattkontur, grossflaechig;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B111;Land;Land: Demokratische Republik Kongo;Freigeschaltet fuer einen dokumentierten Besuch.;Regenwald-Blattkontur, grossflaechig;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B112;Land;Land: Lesotho;Freigeschaltet fuer einen dokumentierten Besuch.;Baobab-Silhouette, knorriger Stamm;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B113;Land;Land: Liberia;Freigeschaltet fuer einen dokumentierten Besuch.;Geometrisches Kente-Musterband;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B114;Land;Land: Libyen;Freigeschaltet fuer einen dokumentierten Besuch.;Duenenwelle mit Palme;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B115;Land;Land: Madagaskar;Freigeschaltet fuer einen dokumentierten Besuch.;Savannen-Graslinie mit Akazie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B116;Land;Land: Malawi;Freigeschaltet fuer einen dokumentierten Besuch.;Savannen-Graslinie mit Akazie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B117;Land;Land: Mali;Freigeschaltet fuer einen dokumentierten Besuch.;Geometrisches Kente-Musterband;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B118;Land;Land: Marokko;Freigeschaltet fuer einen dokumentierten Besuch.;Riad-Bogenfenster, hufeisenfoermig;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B119;Land;Land: Mauretanien;Freigeschaltet fuer einen dokumentierten Besuch.;Geometrisches Kente-Musterband;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B120;Land;Land: Mauritius;Freigeschaltet fuer einen dokumentierten Besuch.;Savannen-Graslinie mit Akazie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B121;Land;Land: Mosambik;Freigeschaltet fuer einen dokumentierten Besuch.;Savannen-Graslinie mit Akazie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B122;Land;Land: Namibia;Freigeschaltet fuer einen dokumentierten Besuch.;Baobab-Silhouette, knorriger Stamm;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B123;Land;Land: Niger;Freigeschaltet fuer einen dokumentierten Besuch.;Geometrisches Kente-Musterband;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B124;Land;Land: Nigeria;Freigeschaltet fuer einen dokumentierten Besuch.;Geometrisches Kente-Musterband;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B125;Land;Land: Ruanda;Freigeschaltet fuer einen dokumentierten Besuch.;Savannen-Graslinie mit Akazie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B126;Land;Land: Sambia;Freigeschaltet fuer einen dokumentierten Besuch.;Baobab-Silhouette, knorriger Stamm;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B127;Land;Land: Sao Tome und Principe;Freigeschaltet fuer einen dokumentierten Besuch.;Regenwald-Blattkontur, grossflaechig;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B128;Land;Land: Senegal;Freigeschaltet fuer einen dokumentierten Besuch.;Geometrisches Kente-Musterband;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B129;Land;Land: Seychellen;Freigeschaltet fuer einen dokumentierten Besuch.;Savannen-Graslinie mit Akazie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B130;Land;Land: Sierra Leone;Freigeschaltet fuer einen dokumentierten Besuch.;Geometrisches Kente-Musterband;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B131;Land;Land: Simbabwe;Freigeschaltet fuer einen dokumentierten Besuch.;Baobab-Silhouette, knorriger Stamm;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B132;Land;Land: Somalia;Freigeschaltet fuer einen dokumentierten Besuch.;Savannen-Graslinie mit Akazie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B133;Land;Land: Suedafrika;Freigeschaltet fuer einen dokumentierten Besuch.;Tafelberg-Plateau-Silhouette;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B134;Land;Land: Suedsudan;Freigeschaltet fuer einen dokumentierten Besuch.;Savannen-Graslinie mit Akazie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B135;Land;Land: Sudan;Freigeschaltet fuer einen dokumentierten Besuch.;Duenenwelle mit Palme;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B136;Land;Land: Tansania;Freigeschaltet fuer einen dokumentierten Besuch.;Kilimandscharo-Doppelgipfel mit Schneekappe;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B137;Land;Land: Togo;Freigeschaltet fuer einen dokumentierten Besuch.;Geometrisches Kente-Musterband;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B138;Land;Land: Tschad;Freigeschaltet fuer einen dokumentierten Besuch.;Regenwald-Blattkontur, grossflaechig;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B139;Land;Land: Tunesien;Freigeschaltet fuer einen dokumentierten Besuch.;Duenenwelle mit Palme;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B140;Land;Land: Uganda;Freigeschaltet fuer einen dokumentierten Besuch.;Savannen-Graslinie mit Akazie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B141;Land;Land: Zentralafrikanische Republik;Freigeschaltet fuer einen dokumentierten Besuch.;Regenwald-Blattkontur, grossflaechig;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
